                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.241,                 1.0255,                 1.3246,                0.58472,                0.50384,                0.49372,                0.23632,                 1.7985,                 1.8013,                 1.8912,              0.0012781,              0.0012781,              0.0012781
                     35,                 1.2354,                 0.9903,                  1.316,                0.57347,                 0.4493,                 0.5134,                0.24577,                  1.929,                 2.0534,                 1.9559,              0.0012734,              0.0012734,              0.0012734
                     36,                 1.2402,                0.97328,                 1.3166,                0.61526,                 0.4622,                 0.4938,                0.23243,                  1.748,                 2.1382,                 1.7873,              0.0012687,              0.0012687,              0.0012687
                     37,                 1.2268,                0.99489,                 1.3321,                0.56208,                0.40904,                0.44232,                0.19421,                 1.9877,                 1.9665,                 2.0345,               0.001264,               0.001264,               0.001264
                     38,                  1.187,                0.94496,                 1.3086,                 0.5597,                0.55307,                0.50832,                0.26821,                 1.7354,                 1.9796,                 1.8237,              0.0012592,              0.0012592,              0.0012592
                     39,                  1.215,                 0.9363,                 1.2965,                 0.5514,                 0.4698,                0.46405,                0.22036,                 1.7581,                 2.2656,                 1.8237,              0.0012545,              0.0012545,              0.0012545
                     40,                 1.1786,                0.92216,                 1.2895,                0.55559,                0.54748,                0.55489,                0.25562,                 1.9348,                 1.8182,                  2.006,              0.0012498,              0.0012498,              0.0012498
                     41,                 1.1746,                0.90685,                 1.2753,                0.57109,                0.56191,                0.48892,                0.22824,                 1.9076,                 1.9251,                 2.0666,              0.0012451,              0.0012451,              0.0012451
                     42,                 1.1605,                0.89942,                 1.2679,                0.55988,                0.54579,                0.51419,                0.24828,                 1.8418,                 1.9544,                 1.8814,              0.0012404,              0.0012404,              0.0012404
                     43,                 1.1737,                0.92138,                  1.287,                  0.569,                0.51675,                0.52023,                0.25091,                  1.879,                 1.8674,                 2.0142,              0.0012357,              0.0012357,              0.0012357
                     44,                  1.125,                0.85182,                 1.2383,                0.59859,                0.52298,                0.53889,                0.27458,                 1.7704,                 2.1384,                 1.8802,              0.0012309,              0.0012309,              0.0012309
                     45,                 1.1387,                0.87788,                   1.26,                0.57017,                0.56136,                 0.5235,                0.26722,                 1.7709,                 1.8963,                  1.921,              0.0012262,              0.0012262,              0.0012262
                     46,                 1.1227,                0.82562,                 1.2299,                0.56334,                0.54605,                0.53941,                0.25246,                 1.9967,                 1.9524,                 2.0317,              0.0012215,              0.0012215,              0.0012215
                     47,                 1.1285,                0.84329,                 1.2342,                0.57251,                0.57106,                0.54241,                0.28455,                 1.8244,                 1.9128,                 1.9388,              0.0012168,              0.0012168,              0.0012168
                     48,                 1.1236,                0.83776,                  1.245,                0.57256,                0.54243,                0.53079,                0.25855,                 1.8356,                 2.0271,                 1.9354,              0.0012121,              0.0012121,              0.0012121
                     49,                 1.1088,                0.80234,                 1.2332,                0.55975,                0.53431,                0.50673,                0.26092,                 1.7651,                 2.0306,                 1.8524,              0.0012074,              0.0012074,              0.0012074
                     50,                 1.0969,                 0.8124,                 1.2165,                0.69214,                0.45637,                0.54105,                0.29586,                 1.7837,                 1.9792,                 1.8593,              0.0012026,              0.0012026,              0.0012026
                     51,                 1.1302,                0.85903,                 1.2579,                0.52414,                0.58553,                0.54161,                0.27018,                 1.9026,                 2.1311,                 1.9944,              0.0011979,              0.0011979,              0.0011979
                     52,                 1.0896,                 0.7986,                 1.2233,                0.61614,                0.43219,                0.50369,                0.25308,                 1.8729,                 2.0937,                 1.9785,              0.0011932,              0.0011932,              0.0011932
                     53,                 1.0786,                0.81712,                 1.2144,                0.61066,                0.51903,                0.51733,                0.26419,                 1.8562,                 1.9979,                 2.0103,              0.0011885,              0.0011885,              0.0011885
                     54,                 1.0962,                0.81081,                 1.2235,                0.65667,                0.51524,                0.54615,                0.28948,                 1.8323,                 1.9289,                 1.9651,              0.0011838,              0.0011838,              0.0011838
                     55,                 1.0912,                0.80458,                  1.227,                0.63254,                0.52261,                0.54584,                 0.2936,                 1.8509,                 1.9576,                 2.0009,              0.0011791,              0.0011791,              0.0011791
                     56,                 1.0567,                0.77513,                 1.1968,                0.61119,                0.52285,                0.55185,                0.28574,                 1.7697,                 1.9926,                 1.9216,              0.0011744,              0.0011744,              0.0011744
                     57,                 1.0555,                0.75808,                 1.1911,                0.54325,                0.50473,                0.44605,                0.22418,                 1.9505,                 2.4656,                 2.0462,              0.0011696,              0.0011696,              0.0011696
                     58,                   1.06,                 0.7858,                 1.2066,                0.60309,                0.46833,                0.48459,                0.22071,                 1.9863,                 2.1294,                 2.0035,              0.0011649,              0.0011649,              0.0011649
                     59,                 1.0401,                0.75153,                 1.2013,                0.55548,                0.46859,                0.46273,                0.24798,                 1.7643,                 1.9883,                 1.9708,              0.0011602,              0.0011602,              0.0011602
                     60,                 1.0476,                0.76607,                 1.1862,                0.58852,                 0.5333,                0.52999,                0.25854,                 1.8161,                 2.1175,                 1.9004,              0.0011555,              0.0011555,              0.0011555
                     61,                 1.0365,                0.77771,                 1.1946,                0.60268,                0.50928,                0.52464,                0.26672,                   1.76,                 1.9052,                 1.8811,              0.0011508,              0.0011508,              0.0011508
                     62,                 1.0372,                0.76464,                  1.183,                0.51873,                0.54694,                0.51628,                  0.251,                 1.8315,                 2.1139,                 1.9547,              0.0011461,              0.0011461,              0.0011461
                     63,                 1.0372,                0.76934,                 1.1924,                0.61166,                0.47261,                0.51696,                0.25586,                 1.8611,                 1.9513,                 1.9756,              0.0011413,              0.0011413,              0.0011413
                     64,                 1.0054,                0.73641,                 1.1705,                0.66259,                0.43681,                0.51628,                0.25309,                 1.9967,                 2.0177,                 2.0918,              0.0011366,              0.0011366,              0.0011366
                     65,                 1.0001,                0.73395,                 1.1668,                0.58228,                0.52071,                0.51346,                0.25442,                 1.9164,                 2.0549,                  2.024,              0.0011319,              0.0011319,              0.0011319
                     66,                 1.0218,                0.74807,                 1.1823,                0.54226,                0.54171,                0.49437,                0.25018,                 1.8428,                 2.2445,                 1.9688,              0.0011272,              0.0011272,              0.0011272
                     67,                 1.0167,                0.71943,                 1.1785,                0.62481,                 0.5147,                0.51051,                0.27157,                 1.8787,                 1.9779,                 2.0353,              0.0011225,              0.0011225,              0.0011225
                     68,                 1.0096,                0.73952,                 1.1779,                0.67682,                0.46652,                0.52977,                0.26313,                   1.84,                 1.8828,                 2.0092,              0.0011178,              0.0011178,              0.0011178
                     69,                 1.0091,                0.72394,                 1.1719,                0.59776,                0.59021,                0.54742,                0.28391,                 1.7646,                  1.859,                 1.9395,               0.001113,               0.001113,               0.001113
                     70,                 1.0092,                0.73088,                 1.1841,                0.61696,                0.54248,                0.55571,                0.27301,                 1.8895,                 1.9695,                 2.0701,              0.0011083,              0.0011083,              0.0011083
                     71,                0.98118,                0.69272,                 1.1611,                0.60258,                 0.5616,                 0.5533,                0.27968,                 1.8976,                 1.8415,                 2.0546,              0.0011036,              0.0011036,              0.0011036
                     72,                0.96869,                0.66909,                 1.1478,                0.58334,                0.52361,                0.53468,                 0.2632,                 1.8785,                 2.0043,                 1.9939,              0.0010989,              0.0010989,              0.0010989
                     73,                0.98641,                0.71316,                 1.1514,                0.60517,                0.53707,                0.54004,                0.26187,                 1.8656,                 1.8863,                 2.0297,              0.0010942,              0.0010942,              0.0010942
                     74,                0.98289,                0.70515,                 1.1689,                0.54051,                0.61406,                0.55354,                0.26575,                 1.8477,                 1.9836,                 1.9882,              0.0010895,              0.0010895,              0.0010895
                     75,                0.95307,                0.70708,                 1.1482,                0.63395,                0.51942,                0.56458,                0.29342,                 1.9191,                  1.792,                 2.0421,              0.0010848,              0.0010848,              0.0010848
                     76,                0.95214,                0.68944,                 1.1466,                0.66177,                0.48798,                0.52889,                0.27008,                 1.8157,                 2.1365,                 1.9335,                0.00108,                0.00108,                0.00108
                     77,                 0.9506,                0.67406,                 1.1385,                 0.6263,                0.61209,                0.57279,                0.28162,                 1.8206,                 1.7019,                 1.9986,              0.0010753,              0.0010753,              0.0010753
                     78,                0.97148,                0.69754,                 1.1575,                0.62245,                0.51054,                0.48992,                0.24698,                 1.7952,                 2.2912,                 2.0186,              0.0010706,              0.0010706,              0.0010706
                     79,                0.97755,                0.71516,                 1.1657,                 0.5637,                0.58914,                0.52056,                0.27219,                 1.9178,                  2.184,                 2.1235,              0.0010659,              0.0010659,              0.0010659
                     80,                0.95179,                0.68843,                 1.1368,                0.63944,                 0.5119,                 0.5483,                0.29093,                   1.76,                 1.8566,                   1.97,              0.0010612,              0.0010612,              0.0010612
                     81,                0.95298,                0.68042,                 1.1469,                0.64014,                 0.5842,                0.54518,                0.28287,                 1.7079,                 1.7752,                 1.9471,              0.0010565,              0.0010565,              0.0010565
                     82,                0.95117,                 0.6522,                  1.143,                0.55764,                  0.585,                0.54545,                0.27729,                 1.7505,                 1.8619,                 1.9972,              0.0010517,              0.0010517,              0.0010517
                     83,                0.94323,                0.65522,                  1.141,                0.57238,                0.55665,                0.50064,                0.24499,                  1.806,                 2.0694,                 2.0163,               0.001047,               0.001047,               0.001047
                     84,                0.93586,                0.63917,                 1.1181,                0.66862,                0.58615,                0.57484,                0.28336,                 1.7808,                 2.0463,                 1.8956,              0.0010423,              0.0010423,              0.0010423
                     85,                0.94221,                 0.6641,                   1.13,                0.69381,                0.53895,                0.56682,                0.27823,                 1.8352,                 1.9571,                 1.9313,              0.0010376,              0.0010376,              0.0010376
                     86,                0.93881,                0.65041,                  1.135,                0.58258,                 0.5725,                0.52483,                 0.2627,                 1.8762,                 1.7118,                 2.0123,              0.0010329,              0.0010329,              0.0010329
                     87,                0.93462,                0.64029,                 1.1285,                 0.6206,                0.50816,                0.52424,                0.25369,                 1.9174,                 2.1787,                 2.0959,              0.0010282,              0.0010282,              0.0010282
                     88,                0.91535,                0.64828,                 1.1302,                0.58558,                0.56791,                0.52824,                0.25932,                 1.9123,                  2.196,                 2.0928,              0.0010234,              0.0010234,              0.0010234
                     89,                 0.9145,                0.63208,                  1.123,                0.64736,                0.49394,                0.54133,                0.28305,                 1.8276,                  1.901,                 2.1005,              0.0010187,              0.0010187,              0.0010187
                     90,                0.91451,                 0.6256,                 1.1143,                0.65983,                0.49341,                0.53794,                0.28583,                 1.7635,                 2.0387,                 1.9307,               0.001014,               0.001014,               0.001014
                     91,                0.88504,                0.62105,                 1.1005,                0.62788,                0.55886,                0.59122,                0.29095,                 1.8398,                 1.8408,                 2.0156,              0.0010093,              0.0010093,              0.0010093
                     92,                0.90861,                0.62878,                 1.1104,                0.68598,                0.56107,                0.62337,                0.30362,                 1.9364,                 1.8452,                 2.0909,              0.0010046,              0.0010046,              0.0010046
                     93,                0.89165,                0.63271,                 1.1147,                0.60341,                0.53279,                 0.5234,                0.27036,                 1.9106,                 2.0527,                 2.0858,             0.00099987,             0.00099987,             0.00099987
                     94,                0.87987,                 0.6236,                 1.0978,                0.68352,                0.55528,                0.58228,                0.29821,                 1.8006,                 1.8216,                  2.085,             0.00099516,             0.00099516,             0.00099516
                     95,                0.89951,                0.63388,                 1.1069,                0.56714,                0.56743,                  0.519,                0.25296,                 1.8624,                 2.0435,                 2.0865,             0.00099044,             0.00099044,             0.00099044
                     96,                0.87484,                0.60759,                 1.0999,                0.65051,                0.54957,                0.59257,                0.30857,                 1.8828,                    1.8,                 2.0397,             0.00098572,             0.00098572,             0.00098572
                     97,                0.86954,                0.59178,                  1.106,                0.62632,                0.48561,                0.54031,                0.28669,                 1.9007,                 2.0831,                   2.06,             0.00098101,             0.00098101,             0.00098101
                     98,                0.85898,                 0.6145,                 1.0982,                0.61111,                 0.5311,                0.50661,                0.25515,                 1.8488,                 1.9555,                 2.0024,             0.00097629,             0.00097629,             0.00097629
                     99,                0.88045,                0.63512,                 1.1038,                0.62381,                0.49205,                 0.5371,                 0.2698,                  1.879,                 2.1881,                 2.0633,             0.00097158,             0.00097158,             0.00097158
                    100,                0.85898,                0.59416,                  1.081,                 0.5684,                0.50397,                0.50264,                0.25619,                 1.7906,                 2.2691,                  1.986,             0.00096686,             0.00096686,             0.00096686
                    101,                0.83681,                 0.5752,                 1.0706,                0.62873,                0.54956,                 0.5621,                0.28699,                 1.7639,                 1.8649,                 1.9823,             0.00096215,             0.00096215,             0.00096215
                    102,                0.86424,                0.59627,                 1.1016,                0.71099,                 0.4882,                0.55102,                0.27921,                 1.9131,                 2.0556,                  2.094,             0.00095743,             0.00095743,             0.00095743
